,CLASS,PACKAGE,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED,Statement_Percentage,Branch_Percentage,CC
0,AbstractBagDecorator,org.apache.commons.collections4.bag,9,39,0,4,3,8,2,9,2,7,72.72727273,100,11
1,AbstractBidiMapDecorator,org.apache.commons.collections4.bidimap,13,17,0,0,3,5,3,4,3,4,62.5,,7
2,AbstractBitwiseTrie,org.apache.commons.collections4.trie,40,186,7,25,9,45,9,26,3,16,83.33333333,78.125,35
3,AbstractCollectionDecorator,org.apache.commons.collections4.collection,3,84,0,2,2,23,1,18,1,17,92,100,19
4,AbstractDualBidiMap,org.apache.commons.collections4.bidimap,14,851,1,73,4,211,2,97,1,61,98.13953488,98.64864865,99
5,AbstractEmptyIterator,org.apache.commons.collections4.iterators,0,37,0,0,0,12,0,11,0,11,100,,11
6,AbstractHashedMap,org.apache.commons.collections4.map,49,1513,15,179,18,390,19,171,4,89,95.58823529,92.26804124,190
7,AbstractInputCheckedMapDecorator,org.apache.commons.collections4.map,2,183,1,11,1,40,2,16,1,11,97.56097561,91.66666667,18
8,AbstractIterableGetMapDecorator,org.apache.commons.collections4.splitmap,22,61,2,2,5,18,5,13,3,13,78.26086957,50,18
9,AbstractIterableMap,org.apache.commons.collections4.map,0,9,0,0,0,2,0,2,0,2,100,,2
10,AbstractIteratorDecorator,org.apache.commons.collections4.iterators,0,8,0,0,0,3,0,2,0,2,100,,2
11,AbstractKeyValue,org.apache.commons.collections4.keyvalue,0,44,0,0,0,17,0,6,0,6,100,,6
12,AbstractLinkedList,org.apache.commons.collections4.list,116,1334,14,120,25,321,21,136,7,83,92.77456647,89.55223881,157
13,AbstractLinkedMap,org.apache.commons.collections4.map,36,571,4,60,11,132,10,70,6,42,92.30769231,93.75,80
14,AbstractListDecorator,org.apache.commons.collections4.list,3,77,0,4,2,16,1,16,1,14,88.88888889,100,17
15,AbstractListIteratorDecorator,org.apache.commons.collections4.iterators,5,49,1,1,1,17,1,11,0,11,94.44444444,50,12
16,AbstractListValuedMap,org.apache.commons.collections4.multimap,148,173,6,10,36,45,17,22,14,17,55.55555556,62.5,39
17,AbstractMapBag,org.apache.commons.collections4.bag,37,742,13,87,8,192,13,71,2,32,96,87,84
18,AbstractMapDecorator,org.apache.commons.collections4.map,0,92,0,4,0,27,0,20,0,18,100,100,20
19,AbstractMapEntry,org.apache.commons.collections4.keyvalue,0,70,1,19,0,13,1,13,0,4,100,95,14
20,AbstractMapEntryDecorator,org.apache.commons.collections4.keyvalue,11,36,2,2,3,11,3,7,1,7,78.57142857,50,10
21,AbstractMapIteratorDecorator,org.apache.commons.collections4.iterators,41,0,2,0,13,0,9,0,8,0,0,0,9
22,AbstractMapMultiSet,org.apache.commons.collections4.multiset,54,646,12,58,14,161,12,61,3,35,92,82.85714286,73
23,AbstractMultiSet,org.apache.commons.collections4.multiset,314,265,53,27,77,64,43,41,15,29,45.39007092,33.75,84
24,AbstractMultiSetDecorator,org.apache.commons.collections4.multiset,29,29,0,4,7,6,6,7,6,5,46.15384615,100,13
25,AbstractMultiValuedMap,org.apache.commons.collections4.multimap,215,947,40,76,54,220,39,119,12,88,80.2919708,65.51724138,158
26,AbstractMultiValuedMapDecorator,org.apache.commons.collections4.multimap,26,98,0,4,5,26,5,21,5,19,83.87096774,100,26
27,AbstractNavigableSetDecorator,org.apache.commons.collections4.set,39,28,0,0,9,7,8,6,8,6,43.75,,14
28,AbstractOrderedBidiMapDecorator,org.apache.commons.collections4.bidimap,8,26,0,0,2,7,2,6,2,6,77.77777778,,8
29,AbstractOrderedMapDecorator,org.apache.commons.collections4.map,4,29,0,0,1,9,1,7,1,7,90,,8
30,AbstractOrderedMapIteratorDecorator,org.apache.commons.collections4.iterators,49,0,2,0,15,0,11,0,10,0,0,0,11
31,AbstractPatriciaTrie,org.apache.commons.collections4.trie,883,2860,156,390,181,642,135,294,22,134,78.0072904,71.42857143,429
32,AbstractQuantifierPredicate,org.apache.commons.collections4.functors,4,6,0,0,1,3,1,1,1,1,75,,2
33,AbstractQueueDecorator,org.apache.commons.collections4.queue,20,12,0,0,6,4,5,3,5,3,40,,8
34,AbstractReferenceMap,org.apache.commons.collections4.map,60,1001,24,108,14,260,25,117,2,73,94.89051095,81.81818182,142
35,AbstractSerializableListDecorator,org.apache.commons.collections4.list,0,19,0,0,0,8,0,3,0,3,100,,3
36,AbstractSerializableSetDecorator,org.apache.commons.collections4.set,0,19,0,0,0,8,0,3,0,3,100,,3
37,AbstractSetDecorator,org.apache.commons.collections4.set,3,24,0,4,2,5,1,6,1,4,71.42857143,100,7
38,AbstractSetValuedMap,org.apache.commons.collections4.multimap,0,64,0,4,0,20,0,11,0,9,100,100,11
39,AbstractSortedBagDecorator,org.apache.commons.collections4.bag,7,16,0,0,3,5,2,4,2,4,62.5,,6
40,AbstractSortedBidiMapDecorator,org.apache.commons.collections4.bidimap,28,8,0,0,6,3,6,2,6,2,33.33333333,,8
41,AbstractSortedMapDecorator,org.apache.commons.collections4.map,80,23,4,0,17,8,12,6,10,6,32,0,18
42,AbstractSortedSetDecorator,org.apache.commons.collections4.set,19,20,0,0,5,6,4,5,4,5,54.54545455,,9
43,AbstractUntypedIteratorDecorator,org.apache.commons.collections4.iterators,5,19,1,1,1,8,1,4,0,4,88.88888889,50,5
44,AllPredicate,org.apache.commons.collections4.functors,0,73,0,12,0,18,0,10,0,4,100,100,10
45,AndPredicate,org.apache.commons.collections4.functors,13,38,1,7,1,8,2,6,1,3,88.88888889,87.5,8
46,AnyPredicate,org.apache.commons.collections4.functors,4,67,1,11,1,17,1,9,0,4,94.44444444,91.66666667,10
47,ArrayIterator,org.apache.commons.collections4.iterators,9,122,0,10,3,28,3,13,3,8,90.32258065,100,16
48,ArrayListIterator,org.apache.commons.collections4.iterators,5,113,0,8,1,25,1,14,1,10,96.15384615,100,15
49,ArrayListValuedHashMap,org.apache.commons.collections4.multimap,34,48,2,0,10,16,4,6,3,6,61.53846154,0,10
50,ArrayStack,org.apache.commons.collections4,23,70,6,10,6,24,6,10,2,6,80,62.5,16
51,ArrayUtils,org.apache.commons.collections4,22,38,7,9,6,9,6,6,1,3,60,56.25,12
52,BagUtils,org.apache.commons.collections4,8,39,0,0,3,11,3,9,3,9,78.57142857,,12
53,BooleanComparator,org.apache.commons.collections4.comparators,7,79,1,13,1,17,2,15,1,9,94.44444444,92.85714286,17
54,BoundedIterator,org.apache.commons.collections4.iterators,5,117,1,17,1,31,1,14,0,6,96.875,94.44444444,15
55,CaseInsensitiveMap,org.apache.commons.collections4.map,5,60,0,4,2,19,1,9,1,7,90.47619048,100,10
56,CatchAndRethrowClosure,org.apache.commons.collections4.functors,0,17,0,0,0,8,0,2,0,2,100,,2
57,ChainedClosure,org.apache.commons.collections4.functors,4,91,0,12,1,23,1,11,1,5,95.83333333,100,12
58,ChainedTransformer,org.apache.commons.collections4.functors,4,78,0,10,1,19,1,10,1,5,95,100,11
59,CircularFifoQueue,org.apache.commons.collections4.queue,27,529,4,62,6,118,5,53,1,24,95.16129032,93.93939394,58
60,CloneTransformer,org.apache.commons.collections4.functors,0,15,0,2,0,5,0,4,0,3,100,100,4
61,ClosureTransformer,org.apache.commons.collections4.functors,3,24,0,2,1,8,1,4,1,3,88.88888889,100,5
62,ClosureUtils,org.apache.commons.collections4,0,112,0,4,0,28,0,18,0,16,100,100,18
63,CollatingIterator,org.apache.commons.collections4.iterators,79,322,9,39,18,87,10,36,4,18,82.85714286,81.25,46
64,CollectionBag,org.apache.commons.collections4.bag,11,134,3,21,2,42,3,20,0,11,95.45454545,87.5,23
65,CollectionSortedBag,org.apache.commons.collections4.bag,11,134,3,21,2,42,3,20,0,11,95.45454545,87.5,23
66,CollectionUtils,org.apache.commons.collections4,46,1590,21,255,10,375,20,206,0,88,97.4025974,92.39130435,226
67,ComparableComparator,org.apache.commons.collections4.comparators,0,33,0,6,0,8,0,9,0,6,100,100,9
68,ComparatorChain,org.apache.commons.collections4.comparators,70,219,15,27,19,58,18,21,6,12,75.32467532,64.28571429,39
69,ComparatorPredicate,org.apache.commons.collections4.functors,30,169,3,17,3,26,3,15,0,6,89.65517241,85,18
70,ComparatorUtils,org.apache.commons.collections4,16,98,4,14,4,25,5,15,1,10,86.20689655,77.77777778,20
71,CompositeCollection,org.apache.commons.collections4.collection,50,337,1,41,14,83,7,39,6,19,85.56701031,97.61904762,46
72,CompositeMap,org.apache.commons.collections4.map,17,456,3,47,5,86,4,43,1,21,94.50549451,94,47
73,CompositeSet,org.apache.commons.collections4.set,23,455,5,59,6,109,7,51,2,24,94.7826087,92.1875,58
74,ConstantFactory,org.apache.commons.collections4.functors,3,24,0,2,1,8,1,5,1,4,88.88888889,100,6
75,ConstantTransformer,org.apache.commons.collections4.functors,43,31,11,3,9,11,8,7,2,6,55,21.42857143,15
76,CursorableLinkedList,org.apache.commons.collections4.list,30,460,10,46,10,141,11,52,1,34,93.37748344,82.14285714,63
77,DefaultEquator,org.apache.commons.collections4.functors,4,25,2,6,1,4,3,6,1,4,80,75,9
78,DefaultKeyValue,org.apache.commons.collections4.keyvalue,3,111,5,19,1,24,5,16,0,9,96,79.16666667,21
79,DefaultedMap,org.apache.commons.collections4.map,15,79,3,7,3,21,3,11,0,9,87.5,70,14
80,DeleteCommand,org.apache.commons.collections4.sequence,0,9,0,0,0,4,0,2,0,2,100,,2
81,DualHashBidiMap,org.apache.commons.collections4.bidimap,12,49,0,0,3,14,1,5,1,5,82.35294118,,6
82,DualLinkedHashBidiMap,org.apache.commons.collections4.bidimap,12,49,0,0,3,14,1,5,1,5,82.35294118,,6
83,DualTreeBidiMap,org.apache.commons.collections4.bidimap,101,376,2,24,20,88,13,40,11,29,81.48148148,92.30769231,53
84,EditCommand,org.apache.commons.collections4.sequence,0,9,0,0,0,4,0,2,0,2,100,,2
85,EditScript,org.apache.commons.collections4.sequence,3,69,0,2,1,19,1,7,1,6,95,100,8
86,EmptyIterator,org.apache.commons.collections4.iterators,0,14,0,0,0,6,0,4,0,4,100,,4
87,EmptyListIterator,org.apache.commons.collections4.iterators,2,12,0,0,1,5,1,3,1,3,83.33333333,,4
88,EmptyMapIterator,org.apache.commons.collections4.iterators,0,10,0,0,0,4,0,3,0,3,100,,3
89,EmptyOrderedIterator,org.apache.commons.collections4.iterators,0,10,0,0,0,4,0,3,0,3,100,,3
90,EmptyOrderedMapIterator,org.apache.commons.collections4.iterators,0,10,0,0,0,4,0,3,0,3,100,,3
91,EntrySetMapIterator,org.apache.commons.collections4.iterators,121,0,10,0,31,0,14,0,9,0,0,0,14
92,EntrySetToMapIteratorAdapter,org.apache.commons.collections4.map,0,57,0,2,0,18,0,10,0,9,100,100,10
93,EnumerationIterator,org.apache.commons.collections4.iterators,36,29,4,0,11,10,6,4,4,4,47.61904762,0,10
94,EnumerationUtils,org.apache.commons.collections4,0,53,0,6,0,13,0,6,0,3,100,100,6
95,EqualPredicate,org.apache.commons.collections4.functors,3,48,0,6,1,15,1,8,1,5,93.75,100,9
96,ExceptionClosure,org.apache.commons.collections4.functors,0,14,0,0,0,4,0,4,0,4,100,,4
97,ExceptionFactory,org.apache.commons.collections4.functors,0,14,0,0,0,4,0,4,0,4,100,,4
98,ExceptionPredicate,org.apache.commons.collections4.functors,0,14,0,0,0,4,0,4,0,4,100,,4
99,ExceptionTransformer,org.apache.commons.collections4.functors,0,14,0,0,0,4,0,4,0,4,100,,4
100,FactoryTransformer,org.apache.commons.collections4.functors,3,22,0,2,1,7,1,4,1,3,87.5,100,5
101,FactoryUtils,org.apache.commons.collections4,0,21,0,0,0,6,0,6,0,6,100,,6
102,FalsePredicate,org.apache.commons.collections4.functors,0,11,0,0,0,4,0,4,0,4,100,,4
103,FilterIterator,org.apache.commons.collections4.iterators,17,98,1,13,5,32,4,14,3,8,86.48648649,92.85714286,18
104,FilterListIterator,org.apache.commons.collections4.iterators,68,191,6,30,18,58,15,24,9,12,76.31578947,83.33333333,39
105,FixedOrderComparator,org.apache.commons.collections4.comparators,66,377,22,44,6,60,20,28,0,14,90.90909091,66.66666667,48
106,FixedSizeList,org.apache.commons.collections4.list,26,77,0,0,9,20,8,17,8,17,68.96551724,,25
107,FixedSizeMap,org.apache.commons.collections4.map,30,71,4,2,8,20,5,11,3,10,71.42857143,33.33333333,16
108,FixedSizeSortedMap,org.apache.commons.collections4.map,21,94,2,2,6,21,4,15,3,14,77.77777778,50,19
109,Flat3Map,org.apache.commons.collections4.map,409,1671,106,272,78,451,98,179,6,60,85.25519849,71.95767196,277
110,FluentIterable,org.apache.commons.collections4,0,190,0,4,0,45,0,36,0,34,100,100,36
111,ForClosure,org.apache.commons.collections4.functors,6,39,0,8,2,12,2,7,2,3,85.71428571,100,9
112,FunctorUtils,org.apache.commons.collections4.functors,10,174,3,27,5,36,5,20,2,8,87.80487805,90,25
113,GrowthList,org.apache.commons.collections4.list,10,90,4,6,2,20,4,8,1,6,90.90909091,60,12
114,HashBag,org.apache.commons.collections4.bag,0,28,0,0,0,11,0,4,0,4,100,,4
115,HashMultiSet,org.apache.commons.collections4.multiset,0,30,0,0,0,12,0,4,0,4,100,,4
116,HashSetValuedHashMap,org.apache.commons.collections4.multimap,25,38,0,0,8,13,3,5,3,5,61.9047619,,8
117,HashedMap,org.apache.commons.collections4.map,0,35,0,0,0,15,0,7,0,7,100,,7
118,IdentityPredicate,org.apache.commons.collections4.functors,3,23,0,4,1,7,1,5,1,3,87.5,100,6
119,IfClosure,org.apache.commons.collections4.functors,25,45,3,5,7,13,7,5,4,4,65,62.5,12
120,IfTransformer,org.apache.commons.collections4.functors,14,66,2,10,4,17,5,8,3,4,80.95238095,83.33333333,13
121,IndexedCollection,org.apache.commons.collections4.collection,6,207,1,21,1,55,2,25,1,15,98.21428571,95.45454545,27
122,InsertCommand,org.apache.commons.collections4.sequence,0,9,0,0,0,4,0,2,0,2,100,,2
123,InstanceofPredicate,org.apache.commons.collections4.functors,8,18,1,1,2,6,2,3,1,3,75,50,5
124,InstantiateFactory,org.apache.commons.collections4.functors,23,108,5,17,7,27,5,11,0,5,79.41176471,77.27272727,16
125,InstantiateTransformer,org.apache.commons.collections4.functors,32,86,10,14,8,19,10,8,0,6,70.37037037,58.33333333,18
126,InvokerTransformer,org.apache.commons.collections4.functors,45,133,4,24,6,28,4,15,0,5,82.35294118,85.71428571,19
127,IterableUtils,org.apache.commons.collections4,62,803,4,66,7,164,8,103,4,72,95.90643275,94.28571429,111
128,IteratorChain,org.apache.commons.collections4.iterators,84,154,6,14,13,43,8,16,4,10,76.78571429,70,24
